"Title","Sex","Age","Skinny","Date_Time","Year"
"1","Male","Adult","No",1989-07-23,1989
"1","Male","Adult","No",1989-07-24,1989
"1","Male","Adult","No",1989-08-03,1989
"1","Male","Adult","No",1989-08-10,1989
"1","Male","Adult","No",1989-08-11,1989
"1","Male","Adult","No",1989-08-13,1989
"1","Male","Adult","No",1990-07-27,1990
"1","Male","Adult","No",1990-07-28,1990
"1","Male","Adult","No",1990-07-29,1990
"1","Male","Adult","No",1990-08-05,1990
"1","Male","Adult","No",1994-08-13,1994
"1","Male","Adult","No",1996-07-29,1996
"1","Male","Adult","No",1996-08-01,1996
"1","Male","Adult","No",1996-08-04,1996
"1","Male","Adult","No",1997-08-24,1997
"1","Male","Adult","No",1998-07-14,1998
"1","Male","Adult","No",1998-07-20,1998
"1","Male","Adult","No",1998-07-21,1998
"1","Male","Adult","No",1998-07-22,1998
"1","Male","Adult","No",1998-07-26,1998
"1","Male","Adult","No",1998-07-27,1998
"1","Male","Adult","No",1998-07-28,1998
"1","Male","Adult","No",1999-07-12,1999
"1","Male","Adult","No",1999-08-12,1999
"1","Male","Adult","No",1999-08-13,1999
"1","Male","Adult","No",1999-08-17,1999
"1","Male","Adult","No",1999-08-18,1999
"1","Male","Adult","No",2001-08-06,2001
"1","Male","Adult","No",2001-08-12,2001
"1","Male","Adult","No",2002-08-24,2002
"1","Male","Adult","No",2003-08-28,2003
"1","Male","Adult","No",2003-08-29,2003
"10","Male","Adult","No",1989-07-24,1989
"10","Male","Adult","No",1990-08-06,1990
"10","Male","Adult","No",1990-08-09,1990
"10","Male","Adult","No",1996-06-09,1996
"10","Male","Adult","No",1996-08-21,1996
"10","Male","Adult","No",1996-08-22,1996
"10","Male","Adult","No",1998-07-20,1998
"10","Male","Adult","No",1998-07-22,1998
"10","Male","Adult","No",1998-07-23,1998
"10","Male","Adult","No",1998-07-26,1998
"10","Male","Adult","No",1998-07-27,1998
"10","Male","Adult","No",1998-07-28,1998
"10","Male","Adult","No",1998-07-29,1998
"10","Male","Adult","No",1998-08-15,1998
"10","Male","Adult","No",1999-08-17,1999
"10","Male","Adult","No",1999-08-20,1999
"10","Male","Adult","No",2002-08-24,2002
"10","Male","Adult","No",2002-08-27,2002
"10","Male","Adult","No",2011-08-19,2011
"10","Male","Adult","No",2011-08-25,2011
"100","FemaleJ","Adult","No",1989-08-10,1989
"1000","FemaleJ","Adult","No",1996-06-09,1996
"1000","FemaleJ","Adult","No",1997-08-12,1997
"1000","FemaleJ","Adult","No",1997-08-20,1997
"1007",NA,"Adult","No",1996-06-09,1996
"1009",NA,"Adult","Yes",1996-06-09,1996
"1009",NA,"Adult","Yes",1996-06-10,1996
"101","Male","Adult","No",1989-08-10,1989
"101","Male","Adult","No",1990-08-06,1990
"101","Male","Adult","No",1990-08-08,1990
"101","Male","Adult","No",1990-08-10,1990
"1016",NA,"Adult","No",1996-06-10,1996
"1019","FemaleJ","Adult","No",1996-06-10,1996
"1019","FemaleJ","Adult","No",1998-07-14,1998
"1019","FemaleJ","Adult","No",1998-07-26,1998
"1019","FemaleJ","Adult","No",1998-07-28,1998
"1019","FemaleJ","Adult","No",1998-08-09,1998
"1019","FemaleJ","Adult","No",1998-08-10,1998
"1019","FemaleJ","Adult","No",1998-08-11,1998
"1019","FemaleJ","Adult","No",1998-08-15,1998
"1019","FemaleJ","Adult","No",1998-08-16,1998
"1019","FemaleJ","Adult","No",1998-08-17,1998
"1019","FemaleJ","Adult","No",1999-07-23,1999
"1019","FemaleJ","Adult","No",1999-07-24,1999
"1019","FemaleJ","Adult","No",2001-03-01,2001
"1019","FemaleJ","Adult","No",2001-08-06,2001
"1019","FemaleJ","Adult","No",2002-08-22,2002
"102","Male","Adult","No",1989-08-10,1989
"102","Male","Adult","No",1990-07-06,1990
"102","Male","Adult","No",1990-07-07,1990
"102","Male","Adult","No",1990-07-08,1990
"102","Male","Adult","No",1990-07-11,1990
"102","Male","Adult","No",1990-07-27,1990
"102","Male","Adult","No",1990-07-28,1990
"102","Male","Adult","No",1990-07-30,1990
"102","Male","Adult","No",1990-08-05,1990
"102","Male","Adult","No",1990-08-09,1990
"102","Male","Adult","No",1993-07-12,1993
"102","Male","Adult","No",1993-07-19,1993
"102","Male","Adult","Yes",1996-06-17,1996
"102","Male","Adult","No",1996-06-19,1996
"102","Male","Adult","No",1996-06-22,1996
"102","Male","Adult","No",1997-06-09,1997
"102","Male","Adult","No",1997-06-21,1997
"102","Male","Adult","No",1997-07-31,1997
"102","Male","Adult","Yes",1998-08-09,1998
"102","Male","Adult","No",1998-08-15,1998
"102","Male","Adult","No",1999-08-12,1999
"102","Male","Adult","No",1999-08-21,1999
"102","Male","Adult","No",2001-08-30,2001
"102","Male","Adult","No",2002-08-05,2002
"102","Male","Adult","No",2002-08-14,2002
"102","Male","Adult","No",2002-08-27,2002
"102","Male","Adult","No",2011-08-15,2011
"102","Male","Adult","Yes",2011-08-18,2011
"102","Male","Adult","Yes",2011-08-22,2011
"102","Male","Adult","No",2011-08-23,2011
"102","Male","Adult","No",2011-08-24,2011
"102","Male","Adult","No",2011-08-27,2011
"102","Male","Adult","No",2013-08-23,2013
"102","Male","Adult","No",2013-08-25,2013
"102","Male","Adult","Yes",2015-06-15,2015
"102","Male","Adult","Yes",2016-07-22,2016
"102","Male","Adult","Yes",2018-07-06,2018
"102","Male","Adult","No",2018-08-16,2018
"1020","FemaleJ","Adult","No",1996-06-10,1996
"1020","FemaleJ","Adult","No",1996-06-12,1996
"1020","FemaleJ","Adult","No",1996-06-21,1996
