"Title","Sex","Age","Skinny","Date_Time"
"1","Male","Adult","No",1989-07-23
"1","Male","Adult","No",1989-07-24
"1","Male","Adult","No",1989-08-03
"1","Male","Adult","No",1989-08-10
"1","Male","Adult","No",1989-08-11
"1","Male","Adult","No",1989-08-13
"1","Male","Adult","No",1990-07-27
"1","Male","Adult","No",1990-07-28
"1","Male","Adult","No",1990-07-29
"1","Male","Adult","No",1990-08-05
"1","Male","Adult","No",1994-08-13
"1","Male","Adult","No",1996-07-29
"1","Male","Adult","No",1996-08-01
"1","Male","Adult","No",1996-08-04
"1","Male","Adult","No",1997-08-24
"1","Male","Adult","No",1998-07-14
"1","Male","Adult","No",1998-07-20
"1","Male","Adult","No",1998-07-21
"1","Male","Adult","No",1998-07-22
"1","Male","Adult","No",1998-07-26
"1","Male","Adult","No",1998-07-27
"1","Male","Adult","No",1998-07-28
"1","Male","Adult","No",1999-07-12
"1","Male","Adult","No",1999-08-12
"1","Male","Adult","No",1999-08-13
"1","Male","Adult","No",1999-08-17
"1","Male","Adult","No",1999-08-18
"1","Male","Adult","No",2001-08-06
"1","Male","Adult","No",2001-08-12
"1","Male","Adult","No",2002-08-24
"1","Male","Adult","No",2003-08-28
"1","Male","Adult","No",2003-08-29
"10","Male","Adult","No",1989-07-24
"10","Male","Adult","No",1990-08-06
"10","Male","Adult","No",1990-08-09
"10","Male","Adult","No",1996-06-09
"10","Male","Adult","No",1996-08-21
"10","Male","Adult","No",1996-08-22
"10","Male","Adult","No",1998-07-20
"10","Male","Adult","No",1998-07-22
"10","Male","Adult","No",1998-07-23
"10","Male","Adult","No",1998-07-26
"10","Male","Adult","No",1998-07-27
"10","Male","Adult","No",1998-07-28
"10","Male","Adult","No",1998-07-29
"10","Male","Adult","No",1998-08-15
"10","Male","Adult","No",1999-08-17
"10","Male","Adult","No",1999-08-20
"10","Male","Adult","No",2002-08-24
"10","Male","Adult","No",2002-08-27
"10","Male","Adult","No",2011-08-19
"10","Male","Adult","No",2011-08-25
"100","FemaleJ","Adult","No",1989-08-10
"1000","FemaleJ","Adult","No",1996-06-09
"1000","FemaleJ","Adult","No",1997-08-12
"1000","FemaleJ","Adult","No",1997-08-20
"1007",NA,"Adult","No",1996-06-09
"1009",NA,"Adult","Yes",1996-06-09
"1009",NA,"Adult","Yes",1996-06-10
"101","Male","Adult","No",1989-08-10
"101","Male","Adult","No",1990-08-06
"101","Male","Adult","No",1990-08-08
"101","Male","Adult","No",1990-08-10
"1016",NA,"Adult","No",1996-06-10
"1019","FemaleJ","Adult","No",1996-06-10
"1019","FemaleJ","Adult","No",1998-07-14
"1019","FemaleJ","Adult","No",1998-07-26
"1019","FemaleJ","Adult","No",1998-07-28
"1019","FemaleJ","Adult","No",1998-08-09
"1019","FemaleJ","Adult","No",1998-08-10
"1019","FemaleJ","Adult","No",1998-08-11
"1019","FemaleJ","Adult","No",1998-08-15
"1019","FemaleJ","Adult","No",1998-08-16
"1019","FemaleJ","Adult","No",1998-08-17
"1019","FemaleJ","Adult","No",1999-07-23
"1019","FemaleJ","Adult","No",1999-07-24
"1019","FemaleJ","Adult","No",2001-03-01
"1019","FemaleJ","Adult","No",2001-08-06
"1019","FemaleJ","Adult","No",2002-08-22
"102","Male","Adult","No",1989-08-10
"102","Male","Adult","No",1990-07-06
"102","Male","Adult","No",1990-07-07
"102","Male","Adult","No",1990-07-08
"102","Male","Adult","No",1990-07-11
"102","Male","Adult","No",1990-07-27
"102","Male","Adult","No",1990-07-28
"102","Male","Adult","No",1990-07-30
"102","Male","Adult","No",1990-08-05
"102","Male","Adult","No",1990-08-09
"102","Male","Adult","No",1993-07-12
"102","Male","Adult","No",1993-07-19
"102","Male","Adult","Yes",1996-06-17
"102","Male","Adult","No",1996-06-19
"102","Male","Adult","No",1996-06-22
"102","Male","Adult","No",1997-06-09
"102","Male","Adult","No",1997-06-21
"102","Male","Adult","No",1997-07-31
"102","Male","Adult","Yes",1998-08-09
"102","Male","Adult","No",1998-08-15
"102","Male","Adult","No",1999-08-12
"102","Male","Adult","No",1999-08-21
"102","Male","Adult","No",2001-08-30
"102","Male","Adult","No",2002-08-05
"102","Male","Adult","No",2002-08-14
"102","Male","Adult","No",2002-08-27
"102","Male","Adult","No",2011-08-15
"102","Male","Adult","Yes",2011-08-18
"102","Male","Adult","Yes",2011-08-22
"102","Male","Adult","No",2011-08-23
"102","Male","Adult","No",2011-08-24
"102","Male","Adult","No",2011-08-27
"102","Male","Adult","No",2013-08-23
"102","Male","Adult","No",2013-08-25
"102","Male","Adult","Yes",2015-06-15
"102","Male","Adult","Yes",2016-07-22
"102","Male","Adult","Yes",2018-07-06
"102","Male","Adult","No",2018-08-16
"1020","FemaleJ","Adult","No",1996-06-10
"1020","FemaleJ","Adult","No",1996-06-12
"1020","FemaleJ","Adult","No",1996-06-21
"1020","FemaleJ","Adult","No",1997-07-02
"1020","FemaleJ","Adult","No",1997-07-03
"1020","FemaleJ","Adult","No",1997-08-13
"1020","FemaleJ","Adult","No",1997-08-20
"1020","FemaleJ","Adult","No",1997-08-25
"1022","FemaleJ","Adult","No",1996-06-10
"1022","FemaleJ","Adult","No",1996-06-12
"1022","FemaleJ","Adult","No",1996-06-21
"1022","FemaleJ","Adult","No",1997-06-12
"1022","FemaleJ","Adult","No",1997-08-13
"1022","FemaleJ","Adult","No",1997-08-20
"1022","FemaleJ","Adult","No",1999-08-11
"1023",NA,"Calf","No",1996-06-10
"1023",NA,"Calf","No",1996-06-19
"1025","FemaleJ","Adult","No",1996-06-10
"1025","FemaleJ","Adult","No",2018-08-16
"1030",NA,"Adult","No",1996-06-10
"1030",NA,"Adult","No",1996-06-21
"1030",NA,"Adult","No",1996-06-22
"1030",NA,"Adult","No",1996-08-06
"1030",NA,"Adult","No",1996-08-10
"1032",NA,"Adult","No",1996-06-10
"104",NA,"Adult","No",1989-08-10
"104",NA,"Adult","No",1990-07-06
"104",NA,"Adult","No",1990-07-07
"104",NA,"Adult","No",1990-07-14
"104",NA,"Adult","No",1990-07-28
"104",NA,"Adult","No",1990-07-29
"104",NA,"Adult","No",1990-08-05
"1040","FemaleJ","Adult","No",1996-06-10
"1040","FemaleJ","Adult","No",1996-06-12
"1040","FemaleJ","Adult","No",1996-06-21
"1040","FemaleJ","Adult","No",1996-08-25
"1040","FemaleJ","Adult","No",1996-08-27
"1040","FemaleJ","Adult","No",1999-08-11
