Title,Sex.x,Age,Skinny,Date_Time,Year,Sex.y,Age_Class,Strength,Degree,Betweenness,Eigenvector
1,Male,Adult,No,1989-07-23,1989,Male,Adult,10.1063492063492,34,0.464332852882253,0.946170594520799
1,Male,Adult,No,1989-07-24,1989,Male,Adult,10.1063492063492,34,0.464332852882253,0.946170594520799
1,Male,Adult,No,1989-08-03,1989,Male,Adult,10.1063492063492,34,0.464332852882253,0.946170594520799
1,Male,Adult,No,1989-08-10,1989,Male,Adult,10.1063492063492,34,0.464332852882253,0.946170594520799
1,Male,Adult,No,1989-08-11,1989,Male,Adult,10.1063492063492,34,0.464332852882253,0.946170594520799
1,Male,Adult,No,1989-08-13,1989,Male,Adult,10.1063492063492,34,0.464332852882253,0.946170594520799
1,Male,Adult,No,1990-07-27,1990,Male,Adult,9.95067155067155,27,0.0209510357815443,0.834215540558712
1,Male,Adult,No,1990-07-28,1990,Male,Adult,9.95067155067155,27,0.0209510357815443,0.834215540558712
1,Male,Adult,No,1990-07-29,1990,Male,Adult,9.95067155067155,27,0.0209510357815443,0.834215540558712
1,Male,Adult,No,1990-08-05,1990,Male,Adult,9.95067155067155,27,0.0209510357815443,0.834215540558712
1,Male,Adult,No,1994-08-13,1994,Male,Adult,12.4,14,0.087843137254902,0.648451668845637
1,Male,Adult,No,1996-07-29,1996,Male,Adult,1.1047619047619,3,0.010062893081761,0.003113194796957
1,Male,Adult,No,1996-08-01,1996,Male,Adult,1.1047619047619,3,0.010062893081761,0.003113194796957
1,Male,Adult,No,1996-08-04,1996,Male,Adult,1.1047619047619,3,0.010062893081761,0.003113194796957
1,Male,Adult,No,1997-08-24,1997,NA,NA,NA,NA,NA,NA
1,Male,Adult,No,1998-07-14,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1998-07-20,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1998-07-21,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1998-07-22,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1998-07-26,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1998-07-27,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1998-07-28,1998,Male,Adult,4.64278385013679,19,0.0338935574229692,0.357818120003256
1,Male,Adult,No,1999-07-12,1999,Male,Adult,4.21219336219336,14,0.0315497076023392,0.105350707831189
1,Male,Adult,No,1999-08-12,1999,Male,Adult,4.21219336219336,14,0.0315497076023392,0.105350707831189
1,Male,Adult,No,1999-08-13,1999,Male,Adult,4.21219336219336,14,0.0315497076023392,0.105350707831189
1,Male,Adult,No,1999-08-17,1999,Male,Adult,4.21219336219336,14,0.0315497076023392,0.105350707831189
1,Male,Adult,No,1999-08-18,1999,Male,Adult,4.21219336219336,14,0.0315497076023392,0.105350707831189
1,Male,Adult,No,2001-08-06,2001,Male,Adult,3.66666666666667,6,0.0166238657764081,0.10340978057006
1,Male,Adult,No,2001-08-12,2001,Male,Adult,3.66666666666667,6,0.0166238657764081,0.10340978057006
1,Male,Adult,No,2002-08-24,2002,Male,Adult,5.5,8,0,0.0584192773720307
1,Male,Adult,No,2003-08-28,2003,Male,Adult,5.16666666666667,8,0.039602534562212,0.516447046669947
1,Male,Adult,No,2003-08-29,2003,Male,Adult,5.16666666666667,8,0.039602534562212,0.516447046669947
10,Male,Adult,No,1989-07-24,1989,Male,Adult,4.61904761904762,6,2.8555111364934e-4,0.34965184023476
