Title,Year,mean_group_size,n_observations,n_encounters
1,1989,3.4375,16,16
1,1990,3.9375,16,16
1,1994,3.3333333333333335,3,3
1,1996,2.25,4,4
1,1998,2.6,20,20
1,1999,3.9,10,10
1,2001,2.7142857142857144,7,7
1,2002,2.7,10,10
1,2003,2.3333333333333335,3,3
10,1989,2.3333333333333335,3,3
10,1990,2,1,1
10,1996,2,1,1
10,1998,3.5384615384615383,13,13
10,1999,3.2,5,5
10,2002,2.6,10,10
10,2011,2.3333333333333335,3,3
1000,1997,3,2,2
1009,1996,2,3,3
101,1990,4.833333333333333,6,6
1019,1998,2.52,25,25
1019,1999,4,2,2
1019,2002,2.8,5,5
102,1990,2.8260869565217392,23,23
102,1993,3,2,2
102,1996,3.2857142857142856,14,14
102,1997,2.764705882352941,17,17
102,1998,2.3333333333333335,3,3
102,1999,3.3333333333333335,3,3
102,2001,2.4,5,5
102,2002,2.2,5,5
102,2013,2,1,1
102,2015,2.5714285714285716,7,6
102,2016,2.272727272727273,11,8
102,2017,2,3,2
1020,1996,2,1,1
1020,1997,2.2,5,5
1022,1996,3.5,4,4
1022,1997,2,3,3
1022,1999,3,1,1
1023,1996,4.25,4,4
1030,1996,2.3333333333333335,6,6
1032,1996,2,5,5
104,1989,3,3,3
104,1990,3.4166666666666665,12,12
1040,1996,2.5454545454545454,11,11
1040,1999,3.142857142857143,7,7
1042,1996,2.25,4,4
1042,1997,2.5,2,2
1043,1996,2.6666666666666665,6,6
1045,1996,2.7,10,10
1046,1996,2.375,16,16
1047,1996,2,1,1
105,1989,3,1,1
105,1990,5,1,1
1054,1996,4,2,2
1057,1996,3,1,1
1058,1996,3.7142857142857144,7,7
1059,1996,3,1,1
106,1989,3.6,5,5
106,1990,2,3,3
1062,1996,3,13,13
1063,1996,3,23,23
1063,1997,2,1,1
1066,1996,2,2,2
1068,1996,2,1,1
1069,1996,2,1,1
1069,1997,2,3,3
1072,1996,3.25,8,8
1081,1996,2.3333333333333335,6,6
1093,1996,3,2,2
1094,1996,2.6666666666666665,6,6
1094,1997,2.25,4,4
1097,1996,2.5,2,2
1109,1996,3,1,1
111,1989,4,1,1
1110,1996,2,1,1
1114,1996,2.5,2,2
1114,1997,2,1,1
1114,1999,2.6666666666666665,3,3
1114,2008,2,1,1
1116,1996,2.5,2,2
1121,1996,2.5,4,4
1124,1996,2,2,2
1134,1996,2,1,1
1136,1996,3,2,2
1140,1996,4,1,1
1142,1996,4.285714285714286,7,7
1146,1997,3,2,2
1146,1998,3.227272727272727,22,22
1146,1999,2,1,1
1147,1996,2.888888888888889,9,9
1147,1997,2,8,8
1147,1998,2,6,6
1147,1999,6.2727272727272725,11,11
1147,2006,2.5714285714285716,7,7
1147,2010,2,1,1
1148,1996,3,3,3
115,1989,5,2,2
115,1990,3,2,2
1152,1996,2,1,1
1155,1996,2.3333333333333335,3,3
1155,1998,2.8181818181818183,33,33
1158,1996,3.5,2,2
116,1989,4,1,1
1160,1996,3,1,1
1163,1996,4,2,2
1173,1996,2.5,2,2
1173,2001,4,2,2
1174,1996,2.5,2,2
1176,1996,2,1,1
1179,1996,3,1,1
118,1989,4,1,1
118,1998,3,27,27
1185,1996,3.2,5,5
119,1989,5.333333333333333,3,3
120,1989,4,2,2
120,1996,4,3,3
120,1997,3,1,1
120,1999,3.8,5,5
120,2002,2.5,6,6
120,2003,2.4,5,5
120,2006,2,1,1
120,2013,2.2,5,5
1205,1997,3,1,1
1217,1997,3.142857142857143,7,7
1219,1997,4.666666666666667,3,3
1220,1997,3.3,10,10
1221,1997,3.8,5,5
1227,1997,4,1,1
1233,1997,4,1,1
1234,1997,4,1,1
1237,1997,3,1,1
1239,1997,2.625,8,8
1239,1998,2.4615384615384617,13,13
124,1989,3,2,2
124,1994,4,1,1
124,1996,2.8333333333333335,6,6
124,1997,2,1,1
124,2002,2,1,1
1247,1997,2,1,1
1248,1997,2,2,2
1251,1997,3,1,1
1253,1998,2,1,1
1258,1997,2.3333333333333335,3,3
1264,1997,2,1,1
1266,1997,2,1,1
1267,1997,2.2222222222222223,9,9
127,1989,2.5,2,2
127,1999,3,2,2
127,2002,2.5,12,12
1270,1997,3,1,1
1272,1997,2.5,2,2
1272,1998,2,1,1
1275,1997,2.3333333333333335,3,3
1276,1997,2,1,1
1277,1997,2,1,1
1280,1997,3,1,1
