Title,Year,prop_skinny,n_days
1,1989,0,6
1,1990,0,4
1,1994,0,1
1,1996,0,3
1,1997,0,1
1,1998,0,7
1,1999,0,5
1,2001,0,2
1,2002,0,1
1,2003,0,2
10,1989,0,1
10,1990,0,2
10,1996,0,3
10,1998,0,8
10,1999,0,2
10,2002,0,2
10,2011,0,2
100,1989,0,1
1000,1996,0,1
1000,1997,0,2
1007,1996,0,1
1009,1996,1,2
101,1989,0,1
101,1990,0,3
1016,1996,0,1
1019,1996,0,1
1019,1998,0,9
1019,1999,0,2
1019,2001,0,2
1019,2002,0,1
102,1989,0,1
102,1990,0,9
102,1993,0,2
102,1996,0.33333333333333337,3
102,1997,0,3
102,1998,0.5,2
102,1999,0,2
102,2001,0,1
102,2002,0,3
102,2011,0.33333333333333337,6
102,2013,0,2
102,2015,1,1
102,2016,1,1
102,2018,0.5,2
1020,1996,0,3
1020,1997,0,5
1022,1996,0,3
1022,1997,0,3
1022,1999,0,1
1023,1996,0,2
1025,1996,0,1
1025,2018,0,1
1030,1996,0,5
1032,1996,0,1
104,1989,0,1
104,1990,0,6
1040,1996,0,5
1040,1999,0,4
1042,1996,0,2
1042,1997,0,1
1043,1996,0,3
1045,1996,0,1
1046,1996,0,5
1046,1997,0,2
1047,1996,0,1
105,1989,0,1
105,1990,0,1
1054,1996,0,1
1057,1996,0,1
1058,1996,0,5
1059,1996,0,1
106,1989,0,2
106,1990,0,1
1062,1996,0,4
1063,1996,0,6
1063,1997,0,1
1066,1996,0,1
1068,1996,0,1
1069,1996,0,1
1069,1997,0,2
1072,1996,0,3
1081,1996,0,2
1093,1996,0,1
1094,1996,0.33333333333333337,3
1094,1997,0,3
1097,1996,0,2
1100,1996,0,1
1109,1996,0,2
111,1989,0,1
1110,1996,0,1
1114,1996,0,4
1114,1997,0,2
1114,1999,0,1
1114,2008,0,1
1114,2018,0,1
1116,1996,0,1
1121,1996,0,3
1123,1996,0,1
1124,1996,0,1
1126,1996,0,1
1130,1996,0,1
1134,1996,0,1
1136,1996,0,1
1140,1996,0,1
1142,1996,0,2
1146,1997,0,2
1146,1998,0,10
1146,1999,0,1
1147,1996,0,1
